t_ms,x,y
0.000,0.127897,0.097897
50.000,0.127838,0.099781
100.000,0.127660,0.101657
150.000,0.127366,0.103518
200.000,0.126954,0.105358
250.000,0.126429,0.107168
300.000,0.125790,0.108941
350.000,0.125042,0.110670
400.000,0.124186,0.112350
450.000,0.123227,0.113972
500.000,0.122168,0.115531
550.000,0.121012,0.117020
600.000,0.119766,0.118433
650.000,0.118433,0.119766
700.000,0.117020,0.121012
750.000,0.115531,0.122168
800.000,0.113972,0.123227
850.000,0.112350,0.124186
900.000,0.110670,0.125042
950.000,0.108941,0.125790
1000.000,0.107168,0.126429
1050.000,0.105358,0.126954
1100.000,0.103518,0.127366
1150.000,0.101657,0.127660
1200.000,0.099781,0.127838
1250.000,0.097897,0.127897
1300.000,0.096013,0.127838
1350.000,0.094137,0.127660
1400.000,0.092276,0.127366
1450.000,0.090436,0.126954
1500.000,0.088626,0.126429
1550.000,0.086853,0.125790
1600.000,0.085124,0.125042
1650.000,0.083444,0.124186
1700.000,0.081822,0.123227
1750.000,0.080263,0.122168
1800.000,0.078774,0.121012
1850.000,0.077361,0.119766
1900.000,0.076028,0.118433
1950.000,0.074782,0.117020
2000.000,0.073626,0.115531
2050.000,0.072567,0.113972
2100.000,0.071608,0.112350
2150.000,0.070752,0.110670
2200.000,0.070004,0.108941
2250.000,0.069365,0.107168
2300.000,0.068840,0.105358
2350.000,0.068428,0.103518
2400.000,0.068134,0.101657
2450.000,0.067956,0.099781
2500.000,0.067897,0.097897
2550.000,0.067956,0.096013
2600.000,0.068134,0.094137
2650.000,0.068428,0.092276
2700.000,0.068840,0.090436
2750.000,0.069365,0.088626
2800.000,0.070004,0.086853
2850.000,0.070752,0.085124
2900.000,0.071608,0.083444
2950.000,0.072567,0.081822
3000.000,0.073626,0.080263
3050.000,0.074782,0.078774
3100.000,0.076028,0.077361
3150.000,0.077361,0.076028
3200.000,0.078774,0.074782
3250.000,0.080263,0.073626
3300.000,0.081822,0.072567
3350.000,0.083444,0.071608
3400.000,0.085124,0.070752
3450.000,0.086853,0.070004
3500.000,0.088626,0.069365
3550.000,0.090436,0.068840
3600.000,0.092276,0.068428
3650.000,0.094137,0.068134
3700.000,0.096013,0.067956
3750.000,0.097897,0.067897
3800.000,0.099781,0.067956
3850.000,0.101657,0.068134
3900.000,0.103518,0.068428
3950.000,0.105358,0.068840
4000.000,0.107168,0.069365
4050.000,0.108941,0.070004
4100.000,0.110670,0.070752
4150.000,0.112350,0.071608
4200.000,0.113972,0.072567
4250.000,0.115531,0.073626
4300.000,0.117020,0.074782
4350.000,0.118433,0.076028
4400.000,0.119766,0.077361
4450.000,0.121012,0.078774
4500.000,0.122168,0.080263
4550.000,0.123227,0.081822
4600.000,0.124186,0.083444
4650.000,0.125042,0.085124
4700.000,0.125790,0.086853
4750.000,0.126429,0.088626
4800.000,0.126954,0.090436
4850.000,0.127366,0.092276
4900.000,0.127660,0.094137
5000.000,0.127897,0.097897
